Date,Views,Subscribers gained
2015-04-06,0,0
2015-04-07,0,0
2015-04-08,0,0
2015-04-09,0,0
2015-04-10,0,0
2015-04-11,0,0
2015-04-12,0,0
2015-04-13,0,0
2015-04-14,0,0
2015-04-15,0,0
2015-04-16,0,0
2015-04-17,0,0
2015-04-18,0,0
2015-04-19,0,0
2015-04-20,0,0
2015-04-21,0,0
2015-04-22,0,0
2015-04-23,0,0
2015-04-24,0,0
2015-04-25,0,0
2015-04-26,0,0
2015-04-27,0,0
2015-04-28,0,0
2015-04-29,0,0
2015-04-30,0,0
2015-05-01,0,0
2015-05-02,0,0
2015-05-03,0,0
2015-05-04,0,0
2015-05-05,0,0
2015-05-06,0,0
2015-05-07,0,0
2015-05-08,0,0
2015-05-09,0,0
2015-05-10,0,0
2015-05-11,0,0
2015-05-12,0,0
2015-05-13,0,0
2015-05-14,0,0
2015-05-15,0,0
2015-05-16,0,0
2015-05-17,0,0
2015-05-18,0,0
2015-05-19,0,0
2015-05-20,0,0
2015-05-21,0,0
2015-05-22,0,0
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,0,0
2015-05-26,0,0
2015-05-27,0,0
2015-05-28,0,0
2015-05-29,0,0
2015-05-30,0,0
2015-05-31,0,0
2015-06-01,0,0
2015-06-02,0,0
2015-06-03,0,0
2015-06-04,0,0
2015-06-05,0,0
2015-06-06,0,0
2015-06-07,0,0
2015-06-08,0,0
2015-06-09,0,0
2015-06-10,0,0
2015-06-11,0,0
2015-06-12,0,0
2015-06-13,0,0
2015-06-14,0,0
2015-06-15,0,0
2015-06-16,0,0
2015-06-17,0,0
2015-06-18,0,0
2015-06-19,0,0
2015-06-20,0,0
2015-06-21,0,0
2015-06-22,0,0
2015-06-23,0,3
2015-06-24,0,0
2015-06-25,0,1
2015-06-26,0,0
2015-06-27,0,0
2015-06-28,0,0
2015-06-29,0,0
2015-06-30,0,0
2015-07-01,0,0
2015-07-02,0,0
2015-07-03,0,0
2015-07-04,0,0
2015-07-05,0,0
2015-07-06,0,0
2015-07-07,0,0
2015-07-08,0,0
2015-07-09,0,0
2015-07-10,0,0
2015-07-11,0,0
2015-07-12,0,0
2015-07-13,0,0
2015-07-14,0,0
2015-07-15,0,0
2015-07-16,0,0
2015-07-17,0,0
2015-07-18,0,0
2015-07-19,0,0
2015-07-20,0,0
2015-07-21,0,0
2015-07-22,0,0
2015-07-23,0,0
2015-07-24,0,0
2015-07-25,0,0
2015-07-26,0,0
2015-07-27,0,0
2015-07-28,0,0
2015-07-29,0,0
2015-07-30,0,0
2015-07-31,0,0
2015-08-01,0,0
2015-08-02,0,0
2015-08-03,0,0
2015-08-04,0,0
2015-08-05,0,0
2015-08-06,0,0
2015-08-07,0,0
2015-08-08,0,0
2015-08-09,0,0
2015-08-10,0,0
2015-08-11,0,0
2015-08-12,0,0
2015-08-13,0,1
2015-08-14,0,0
2015-08-15,0,0
2015-08-16,0,0
2015-08-17,0,0
2015-08-18,0,0
2015-08-19,0,0
2015-08-20,12,0
2015-08-21,14,2
2015-08-22,16,4
2015-08-23,14,1
2015-08-24,11,0
2015-08-25,20,1
2015-08-26,35,0
2015-08-27,2,0
2015-08-28,2,0
2015-08-29,26,1
2015-08-30,20,2
2015-08-31,4,0
2015-09-01,11,0
2015-09-02,11,0
2015-09-03,4,1
2015-09-04,18,1
2015-09-05,3,0
2015-09-06,10,0
2015-09-07,0,5
2015-09-08,12,0
2015-09-09,3,1
2015-09-10,12,2
2015-09-11,5,0
2015-09-12,15,0
2015-09-13,4,0
2015-09-14,2,0
2015-09-15,3,0
2015-09-16,0,0
2015-09-17,1,0
2015-09-18,4,0
2015-09-19,4,0
2015-09-20,4,0
2015-09-21,7,0
2015-09-22,3,0
2015-09-23,1,0
2015-09-24,2,0
2015-09-25,4,0
2015-09-26,5,0
2015-09-27,1,0
2015-09-28,0,0
2015-09-29,0,0
2015-09-30,5,0
2015-10-01,1,0
2015-10-02,6,0
2015-10-03,0,0
2015-10-04,0,0
2015-10-05,2,0
2015-10-06,9,0
2015-10-07,11,0
2015-10-08,11,0
2015-10-09,7,0
2015-10-10,13,0
2015-10-11,5,0
2015-10-12,13,0
2015-10-13,5,0
2015-10-14,3,0
2015-10-15,19,2
2015-10-16,17,3
2015-10-17,16,0
2015-10-18,13,0
2015-10-19,20,1
2015-10-20,18,0
2015-10-21,18,0
2015-10-22,148,0
2015-10-23,377,0
2015-10-24,82,0
2015-10-25,33,0
2015-10-26,17,0
2015-10-27,17,0
2015-10-28,5,0
2015-10-29,8,0
2015-10-30,5,0
2015-10-31,2,0
2015-11-01,6,0
2015-11-02,1,0
2015-11-03,14,0
2015-11-04,8,0
2015-11-05,4,0
2015-11-06,4,0
2015-11-07,2,0
2015-11-08,8,0
2015-11-09,16,0
2015-11-10,2,0
2015-11-11,9,2
2015-11-12,4,0
2015-11-13,1,0
2015-11-14,22,0
2015-11-15,30,0
2015-11-16,3,0
2015-11-17,1,0
2015-11-18,11,0
2015-11-19,3,0
2015-11-20,7,0
2015-11-21,8,0
2015-11-22,8,0
2015-11-23,3,0
2015-11-24,1,0
2015-11-25,0,0
2015-11-26,5,0
2015-11-27,1,0
2015-11-28,2,0
2015-11-29,0,0
2015-11-30,1,0
2015-12-01,1,0
2015-12-02,0,0
2015-12-03,2,0
2015-12-04,10,0
2015-12-05,6,0
2015-12-06,4,0
2015-12-07,3,0
2015-12-08,16,0
2015-12-09,15,0
2015-12-10,11,0
2015-12-11,4,0
2015-12-12,5,0
2015-12-13,4,0
2015-12-14,3,0
2015-12-15,6,0
2015-12-16,5,0
2015-12-17,2,0
2015-12-18,5,0
2015-12-19,7,0
2015-12-20,2,0
2015-12-21,4,0
2015-12-22,1,0
2015-12-23,0,0
2015-12-24,0,0
2015-12-25,3,0
2015-12-26,5,0
2015-12-27,3,0
2015-12-28,3,0
2015-12-29,2,0
2015-12-30,0,0
2015-12-31,0,0
2016-01-01,4,0
2016-01-02,2,0
2016-01-03,1,0
2016-01-04,2,0
2016-01-05,1,0
2016-01-06,12,0
2016-01-07,1,0
2016-01-08,1,0
2016-01-09,5,0
2016-01-10,5,1
2016-01-11,2,0
2016-01-12,4,1
2016-01-13,3,0
2016-01-14,2,0
2016-01-15,5,0
2016-01-16,5,0
2016-01-17,3,0
2016-01-18,3,0
2016-01-19,2,0
2016-01-20,0,0
2016-01-21,5,0
2016-01-22,2,0
2016-01-23,6,0
2016-01-24,4,0
2016-01-25,2,0
2016-01-26,1,0
2016-01-27,2,0
2016-01-28,0,0
2016-01-29,3,0
2016-01-30,8,0
2016-01-31,5,0
2016-02-01,16,0
2016-02-02,6,1
2016-02-03,4,0
2016-02-04,3,0
2016-02-05,6,0
2016-02-06,6,0
2016-02-07,1,0
2016-02-08,1,0
2016-02-09,4,0
2016-02-10,1,0
2016-02-11,1,0
2016-02-12,0,0
2016-02-13,3,0
2016-02-14,4,0
2016-02-15,12,0
2016-02-16,3,1
2016-02-17,2,0
2016-02-18,4,0
2016-02-19,16,1
2016-02-20,12,0
2016-02-21,8,0
2016-02-22,1,0
2016-02-23,0,0
2016-02-24,0,0
2016-02-25,2,1
2016-02-26,1,0
2016-02-27,5,0
2016-02-28,3,0
2016-02-29,4,0
2016-03-01,7,0
2016-03-02,1,0
2016-03-03,1,0
2016-03-04,3,0
2016-03-05,1,0
2016-03-06,5,0
2016-03-07,13,2
2016-03-08,3,1
2016-03-09,12,0
2016-03-10,1,0
2016-03-11,3,1
2016-03-12,8,0
2016-03-13,7,0
2016-03-14,36,7
2016-03-15,15,2
2016-03-16,9,0
2016-03-17,4,6
2016-03-18,4,0
2016-03-19,5,0
2016-03-20,0,0
2016-03-21,13,0
2016-03-22,6,0
2016-03-23,7,0
2016-03-24,3,1
2016-03-25,5,0
2016-03-26,1,0
2016-03-27,7,1
2016-03-28,6,0
2016-03-29,0,0
2016-03-30,2,0
2016-03-31,5,0
2016-04-01,7,0
2016-04-02,2,1
2016-04-03,4,0
2016-04-04,1,1
2016-04-05,21,0
2016-04-06,15,0
2016-04-07,4,1
2016-04-08,9,0
2016-04-09,3,0
2016-04-10,4,0
2016-04-11,0,0
2016-04-12,4,0
2016-04-13,0,0
2016-04-14,3,0
2016-04-15,1,0
2016-04-16,9,0
2016-04-17,7,0
2016-04-18,8,0
2016-04-19,1,0
2016-04-20,2,0
2016-04-21,31,0
2016-04-22,13,0
2016-04-23,9,0
2016-04-24,1,0
2016-04-25,6,0
2016-04-26,0,0
2016-04-27,4,0
2016-04-28,135,0
2016-04-29,13,0
2016-04-30,2,0
2016-05-01,7,0
2016-05-02,9,0
2016-05-03,4,1
2016-05-04,4,1
2016-05-05,3,0
2016-05-06,2,0
2016-05-07,8,0
2016-05-08,2,0
2016-05-09,8,1
2016-05-10,38,0
2016-05-11,6,0
2016-05-12,3,0
2016-05-13,4,0
2016-05-14,5,0
2016-05-15,2,0
2016-05-16,2,0
2016-05-17,9,0
2016-05-18,11,0
2016-05-19,3,0
2016-05-20,2,0
2016-05-21,6,0
2016-05-22,7,0
2016-05-23,4,0
2016-05-24,7,0
2016-05-25,3,0
2016-05-26,1,0
2016-05-27,5,1
2016-05-28,5,0
2016-05-29,2,0
2016-05-30,7,0
2016-05-31,4,0
2016-06-01,4,0
2016-06-02,2,0
2016-06-03,4,1
2016-06-04,4,0
2016-06-05,2,0
2016-06-06,3,0
2016-06-07,1,0
2016-06-08,3,0
2016-06-09,1,0
2016-06-10,3,0
2016-06-11,4,0
2016-06-12,3,0
2016-06-13,26,0
2016-06-14,20,0
2016-06-15,7,3
2016-06-16,33,29
2016-06-17,321,8
2016-06-18,81,10
2016-06-19,47,1
2016-06-20,26,0
2016-06-21,35,0
2016-06-22,17,0
2016-06-23,9,0
2016-06-24,17,0
2016-06-25,12,0
2016-06-26,7,4
2016-06-27,20,0
2016-06-28,15,0
2016-06-29,10,0
2016-06-30,15,0
2016-07-01,10,0
2016-07-02,8,0
2016-07-03,10,0
2016-07-04,20,0
2016-07-05,16,0
2016-07-06,15,0
2016-07-07,16,0
2016-07-08,4,0
2016-07-09,14,1
2016-07-10,19,0
2016-07-11,29,0
2016-07-12,32,0
2016-07-13,16,0
2016-07-14,26,1
2016-07-15,46,0
2016-07-16,15,0
2016-07-17,15,0
2016-07-18,18,0
2016-07-19,9,0
2016-07-20,8,0
2016-07-21,14,0
2016-07-22,15,0
2016-07-23,16,0
2016-07-24,19,1
2016-07-25,11,0
2016-07-26,11,0
2016-07-27,19,0
2016-07-28,22,1
2016-07-29,10,1
2016-07-30,12,0
2016-07-31,16,0
2016-08-01,10,0
2016-08-02,27,0
2016-08-03,6,0
2016-08-04,8,0
2016-08-05,12,1
2016-08-06,16,0
2016-08-07,11,0
2016-08-08,11,0
2016-08-09,11,0
2016-08-10,12,0
2016-08-11,24,0
2016-08-12,7,0
2016-08-13,18,0
2016-08-14,18,0
2016-08-15,19,0
2016-08-16,21,0
2016-08-17,8,0
2016-08-18,8,0
2016-08-19,58,1
2016-08-20,83,0
2016-08-21,77,13
2016-08-22,27,3
2016-08-23,23,1
2016-08-24,11,0
2016-08-25,12,0
2016-08-26,29,12
2016-08-27,8,0
2016-08-28,15,0
2016-08-29,38,0
2016-08-30,22,0
2016-08-31,16,0
2016-09-01,18,0
2016-09-02,17,1
2016-09-03,21,0
2016-09-04,13,0
2016-09-05,14,0
2016-09-06,9,0
2016-09-07,8,0
2016-09-08,23,0
2016-09-09,9,1
2016-09-10,35,1
2016-09-11,26,0
2016-09-12,12,0
2016-09-13,12,0
2016-09-14,9,0
2016-09-15,16,0
2016-09-16,18,0
2016-09-17,17,1
2016-09-18,22,0
2016-09-19,14,0
2016-09-20,15,0
2016-09-21,23,0
2016-09-22,31,0
2016-09-23,12,0
2016-09-24,24,0
2016-09-25,25,1
2016-09-26,15,0
2016-09-27,21,0
2016-09-28,10,0
2016-09-29,14,0
2016-09-30,16,0
2016-10-01,22,0
2016-10-02,34,10
2016-10-03,21,0
2016-10-04,20,0
2016-10-05,10,0
2016-10-06,13,0
2016-10-07,20,1
2016-10-08,14,0
2016-10-09,15,0
2016-10-10,10,0
2016-10-11,11,0
2016-10-12,15,0
2016-10-13,15,0
2016-10-14,9,0
2016-10-15,21,0
2016-10-16,21,0
2016-10-17,35,1
2016-10-18,15,0
2016-10-19,19,0
2016-10-20,25,0
2016-10-21,11,0
2016-10-22,20,1
2016-10-23,15,0
2016-10-24,12,0
2016-10-25,18,0
2016-10-26,21,0
2016-10-27,24,0
2016-10-28,34,1
2016-10-29,30,0
2016-10-30,46,0
2016-10-31,25,0
2016-11-01,631,1
2016-11-02,1163,11
2016-11-03,654,2
2016-11-04,258,0
2016-11-05,208,1
2016-11-06,194,0
2016-11-07,96,0
2016-11-08,93,1
2016-11-09,74,1
2016-11-10,71,0
2016-11-11,95,1
2016-11-12,104,0
2016-11-13,122,0
2016-11-14,127,1
2016-11-15,78,0
2016-11-16,92,0
2016-11-17,76,1
2016-11-18,83,0
2016-11-19,95,0
2016-11-20,107,1
2016-11-21,68,0
2016-11-22,69,0
2016-11-23,371,1
2016-11-24,294,2
2016-11-25,293,1
2016-11-26,251,0
2016-11-27,408,2
2016-11-28,446,1
2016-11-29,298,0
2016-11-30,206,0
2016-12-01,166,1
2016-12-02,169,0
2016-12-03,214,1
2016-12-04,175,2
2016-12-05,97,0
2016-12-06,110,0
2016-12-07,102,1
2016-12-08,260,0
2016-12-09,204,2
2016-12-10,155,1
2016-12-11,168,0
2016-12-12,129,0
2016-12-13,132,1
2016-12-14,92,0
2016-12-15,88,0
2016-12-16,112,0
2016-12-17,144,0
2016-12-18,155,0
2016-12-19,120,0
2016-12-20,131,0
2016-12-21,126,0
2016-12-22,129,0
2016-12-23,144,0
2016-12-24,129,0
2016-12-25,179,0
2016-12-26,162,0
2016-12-27,175,2
2016-12-28,125,1
2016-12-29,156,0
2016-12-30,126,1
2016-12-31,104,0
2017-01-01,111,0
2017-01-02,142,1
2017-01-03,122,0
2017-01-04,121,0
2017-01-05,116,0
2017-01-06,168,0
2017-01-07,145,2
2017-01-08,124,0
2017-01-09,115,0
2017-01-10,75,0
2017-01-11,86,0
2017-01-12,83,0
2017-01-13,75,0
2017-01-14,113,0
2017-01-15,127,0
2017-01-16,101,0
2017-01-17,132,2
2017-01-18,88,0
2017-01-19,73,0
2017-01-20,77,0
2017-01-21,134,0
2017-01-22,131,1
2017-01-23,80,0
2017-01-24,71,0
2017-01-25,69,0
2017-01-26,67,0
2017-01-27,55,0
2017-01-28,93,1
2017-01-29,83,1
2017-01-30,64,0
2017-01-31,48,0
2017-02-01,69,0
2017-02-02,58,0
2017-02-03,72,0
2017-02-04,89,0
2017-02-05,93,1
2017-02-06,60,0
2017-02-07,34,0
2017-02-08,49,0
2017-02-09,39,1
2017-02-10,52,0
2017-02-11,56,0
2017-02-12,52,0
2017-02-13,37,0
2017-02-14,43,0
2017-02-15,44,0
2017-02-16,48,2
2017-02-17,37,0
2017-02-18,50,0
2017-02-19,32,0
2017-02-20,45,2
2017-02-21,42,0
2017-02-22,39,0
2017-02-23,47,0
2017-02-24,38,0
2017-02-25,46,0
2017-02-26,41,0
2017-02-27,26,0
2017-02-28,48,0
2017-03-01,26,0
2017-03-02,35,0
2017-03-03,25,0
2017-03-04,45,0
2017-03-05,49,0
2017-03-06,32,0
2017-03-07,35,0
2017-03-08,164,0
2017-03-09,168,1
2017-03-10,373,3
2017-03-11,136,0
2017-03-12,87,0
2017-03-13,55,0
2017-03-14,72,0
2017-03-15,68,0
2017-03-16,46,0
2017-03-17,60,0
2017-03-18,61,0
2017-03-19,69,0
2017-03-20,50,0
2017-03-21,42,1
2017-03-22,56,0
2017-03-23,44,0
2017-03-24,59,0
2017-03-25,67,0
2017-03-26,76,0
2017-03-27,47,0
2017-03-28,51,0
2017-03-29,52,0
2017-03-30,58,0
2017-03-31,50,0
2017-04-01,74,0
2017-04-02,90,1
2017-04-03,59,0
2017-04-04,56,0
2017-04-05,64,0
2017-04-06,70,1
2017-04-07,75,0
2017-04-08,77,0
2017-04-09,67,0
2017-04-10,70,0
2017-04-11,78,0
2017-04-12,59,1
2017-04-13,67,0
2017-04-14,61,0
2017-04-15,71,0
2017-04-16,79,0
2017-04-17,68,0
2017-04-18,68,0
2017-04-19,65,0
2017-04-20,56,0
2017-04-21,54,0
2017-04-22,65,0
2017-04-23,64,0
2017-04-24,51,0
2017-04-25,53,0
2017-04-26,71,1
2017-04-27,71,0
2017-04-28,62,0
2017-04-29,82,0
2017-04-30,87,0
2017-05-01,49,0
2017-05-02,46,0
2017-05-03,59,0
2017-05-04,47,0
2017-05-05,62,0
2017-05-06,97,0
2017-05-07,75,0
2017-05-08,63,1
2017-05-09,56,0
2017-05-10,61,0
2017-05-11,58,1
2017-05-12,63,0
2017-05-13,92,0
2017-05-14,56,0
2017-05-15,64,0
2017-05-16,46,0
2017-05-17,51,0
2017-05-18,65,0
2017-05-19,62,0
2017-05-20,81,0
2017-05-21,82,1
2017-05-22,56,0
2017-05-23,73,0
2017-05-24,61,0
2017-05-25,64,0
2017-05-26,73,0
2017-05-27,67,0
2017-05-28,76,0
2017-05-29,81,0
2017-05-30,64,0
2017-05-31,57,0
2017-06-01,80,1
2017-06-02,80,1
2017-06-03,86,0
2017-06-04,96,0
2017-06-05,56,0
2017-06-06,82,0
2017-06-07,66,0
2017-06-08,74,0
2017-06-09,104,0
2017-06-10,69,1
2017-06-11,83,1
2017-06-12,79,0
2017-06-13,62,0
2017-06-14,66,0
2017-06-15,58,0
2017-06-16,61,0
2017-06-17,95,0
2017-06-18,105,0
2017-06-19,79,0
2017-06-20,79,15
2017-06-21,72,14
2017-06-22,73,10
2017-06-23,88,5
2017-06-24,93,0
2017-06-25,100,0
2017-06-26,98,38
2017-06-27,97,33
2017-06-28,96,30
2017-06-29,94,35
2017-06-30,102,39
2017-07-01,85,10
2017-07-02,96,8
2017-07-03,77,42
2017-07-04,77,8
2017-07-05,75,0
2017-07-06,68,0
2017-07-07,94,1
2017-07-08,89,0
2017-07-09,91,0
2017-07-10,81,0
2017-07-11,73,8
2017-07-12,72,0
2017-07-13,92,0
2017-07-14,91,3
2017-07-15,94,0
2017-07-16,85,0
2017-07-17,69,1
2017-07-18,73,0
2017-07-19,80,1
2017-07-20,82,0
2017-07-21,73,0
2017-07-22,94,0
2017-07-23,95,0
2017-07-24,83,0
2017-07-25,86,0
2017-07-26,79,0
2017-07-27,66,7
2017-07-28,100,0
2017-07-29,105,4
2017-07-30,90,0
2017-07-31,88,0
2017-08-01,76,8
2017-08-02,70,0
2017-08-03,62,0
2017-08-04,71,1
2017-08-05,89,1
2017-08-06,110,20
2017-08-07,97,10
2017-08-08,96,0
2017-08-09,72,0
2017-08-10,62,6
2017-08-11,64,0
2017-08-12,79,0
2017-08-13,76,0
2017-08-14,71,0
2017-08-15,71,0
2017-08-16,79,0
2017-08-17,86,0
2017-08-18,77,0
2017-08-19,86,0
2017-08-20,64,0
2017-08-21,73,0
2017-08-22,67,1
2017-08-23,76,0
2017-08-24,86,0
2017-08-25,78,0
2017-08-26,104,0
2017-08-27,87,0
2017-08-28,73,0
2017-08-29,83,0
2017-08-30,52,0
2017-08-31,72,1
2017-09-01,80,0
2017-09-02,82,0
2017-09-03,86,0
2017-09-04,79,0
2017-09-05,72,0
2017-09-06,74,0
2017-09-07,54,0
2017-09-08,81,0
2017-09-09,106,0
2017-09-10,124,0
2017-09-11,72,0
2017-09-12,81,0
2017-09-13,77,0
2017-09-14,63,0
2017-09-15,78,0
2017-09-16,86,0
2017-09-17,104,0
2017-09-18,74,0
2017-09-19,58,0
2017-09-20,48,0
2017-09-21,56,0
2017-09-22,73,0
2017-09-23,84,0
2017-09-24,86,1
2017-09-25,53,0
2017-09-26,62,0
2017-09-27,48,0
2017-09-28,54,0
2017-09-29,56,0
2017-09-30,89,0
2017-10-01,89,0
2017-10-02,56,0
2017-10-03,40,0
2017-10-04,66,1
2017-10-05,61,0
2017-10-06,69,1
2017-10-07,105,23
2017-10-08,125,0
2017-10-09,91,0
2017-10-10,54,0
2017-10-11,54,0
2017-10-12,70,0
2017-10-13,77,1
2017-10-14,83,0
2017-10-15,57,1
2017-10-16,50,0
2017-10-17,53,0
2017-10-18,61,0
2017-10-19,52,0
2017-10-20,67,0
2017-10-21,89,0
2017-10-22,89,0
2017-10-23,65,0
2017-10-24,48,0
2017-10-25,65,0
2017-10-26,39,0
2017-10-27,69,0
2017-10-28,57,0
2017-10-29,73,0
2017-10-30,49,0
2017-10-31,55,0
2017-11-01,38,0
2017-11-02,49,0
2017-11-03,55,0
2017-11-04,95,0
2017-11-05,95,0
2017-11-06,59,0
2017-11-07,48,0
2017-11-08,49,0
2017-11-09,58,0
2017-11-10,72,1
2017-11-11,76,0
2017-11-12,125,1
2017-11-13,79,0
2017-11-14,61,0
2017-11-15,68,0
2017-11-16,70,0
2017-11-17,79,0
2017-11-18,89,0
2017-11-19,94,0
2017-11-20,151,0
2017-11-21,131,0
2017-11-22,157,1
2017-11-23,178,1
2017-11-24,118,0
2017-11-25,131,0
2017-11-26,116,0
2017-11-27,317,1
2017-11-28,267,0
2017-11-29,104,0
2017-11-30,108,0
2017-12-01,122,0
2017-12-02,139,1
2017-12-03,144,1
2017-12-04,71,0
2017-12-05,71,0
2017-12-06,72,0
2017-12-07,67,0
2017-12-08,262,0
2017-12-09,206,0
2017-12-10,153,0
2017-12-11,94,1
2017-12-12,77,0
2017-12-13,74,15
2017-12-14,70,13
2017-12-15,65,0
2017-12-16,99,0
2017-12-17,88,1
2017-12-18,94,0
2017-12-19,73,1
2017-12-20,81,0
2017-12-21,82,1
2017-12-22,91,0
2017-12-23,94,0
2017-12-24,78,0
2017-12-25,87,1
2017-12-26,110,0
2017-12-27,115,0
